Rank,English Title,Japanese Title,Link
108,Chikan Otoko,痴漢男,https://myanimelist.net/manga/46282/Chikan_Otoko
109,Vanitas no Karte,ヴァニタスの手記〈カルテ〉,https://myanimelist.net/manga/93753/Vanitas_no_Karte
110,"Ohayou, Ibarahime",おはよう、いばら姫,https://myanimelist.net/manga/88639/Ohayou_Ibarahime
111,Hinamatsuri,ヒナまつり,https://myanimelist.net/manga/36413/Hinamatsuri
112,blanc,blanc,https://myanimelist.net/manga/112988/blanc
113,Shimanami Tasogare,しまなみ誰そ彼,https://myanimelist.net/manga/97244/Shimanami_Tasogare
114,Eyeshield 21,アイシールド21,https://myanimelist.net/manga/43/Eyeshield_21
115,Cross Game,クロスゲーム,https://myanimelist.net/manga/1183/Cross_Game
116,Kami nomi zo Shiru Sekai,神のみぞ知るセカイ,https://myanimelist.net/manga/7519/Kami_nomi_zo_Shiru_Sekai
117,Ookami to Koushinryou,狼と香辛料,https://myanimelist.net/manga/3299/Ookami_to_Koushinryou
118,Kyou kara Ore wa!!,今日から俺は!!,https://myanimelist.net/manga/6812/Kyou_kara_Ore_wa
119,Rainbow: Nisha Rokubou no Shichinin,RAINBOW 二舎六房の七人,https://myanimelist.net/manga/7482/Rainbow__Nisha_Rokubou_no_Shichinin
120,Umineko no Naku Koro ni Chiru - Episode 6: Dawn of the Golden Witch,うみねこのなく頃に散 Episode 6: Dawn of the Golden Witch,https://myanimelist.net/manga/21499/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_6__Dawn_of_the_Golden_Witch
121,Kininatteru Hito ga Otoko ja Nakatta,気になってる人が男じゃなかった,https://myanimelist.net/manga/155861/Kininatteru_Hito_ga_Otoko_ja_Nakatta
122,Dandadan,ダンダダン,https://myanimelist.net/manga/135496/Dandadan
123,Yuukoku no Moriarty,憂国のモリアーティ,https://myanimelist.net/manga/100323/Yuukoku_no_Moriarty
124,Dragon Ball,ドラゴンボール,https://myanimelist.net/manga/42/Dragon_Ball
125,Doraemon,ドラえもん,https://myanimelist.net/manga/1032/Doraemon
126,Hirano to Kagiura,平野と鍵浦,https://myanimelist.net/manga/119279/Hirano_to_Kagiura
127,21st Century Boys,21世紀少年,https://myanimelist.net/manga/743/21st_Century_Boys
128,Glass no Kamen,ガラスの仮面,https://myanimelist.net/manga/1469/Glass_no_Kamen
129,Holyland,ホーリーランド,https://myanimelist.net/manga/3285/Holyland
130,Barakamon,ばらかもん,https://myanimelist.net/manga/17051/Barakamon
131,Gekkan Shoujo Nozaki-kun,月刊少女野崎くん,https://myanimelist.net/manga/29211/Gekkan_Shoujo_Nozaki-kun
132,Mayonaka Heart Tune,真夜中ハートチューン,https://myanimelist.net/manga/162964/Mayonaka_Heart_Tune
133,Look Back,ルックバック,https://myanimelist.net/manga/138673/Look_Back
134,Shiori Experience: Jimi na Watashi to Hen na Ojisan,SHIORI EXPERIENCE ～ジミなわたしとヘンなおじさん～,https://myanimelist.net/manga/87397/Shiori_Experience__Jimi_na_Watashi_to_Hen_na_Ojisan
135,Tobaku Mokushiroku Kaiji,賭博黙示録カイジ,https://myanimelist.net/manga/3572/Tobaku_Mokushiroku_Kaiji
136,Mugen no Juunin,無限の住人,https://myanimelist.net/manga/658/Mugen_no_Juunin
137,Kuroshitsuji,黒執事,https://myanimelist.net/manga/3866/Kuroshitsuji
138,Horimiya,ホリミヤ,https://myanimelist.net/manga/42451/Horimiya
139,Toshokan no Daimajutsushi,圕の大魔術師,https://myanimelist.net/manga/110771/Toshokan_no_Daimajutsushi
140,Kimi wa Houkago Insomnia,君は放課後インソムニア,https://myanimelist.net/manga/121213/Kimi_wa_Houkago_Insomnia
141,Nodame Cantabile,のだめカンタービレ,https://myanimelist.net/manga/419/Nodame_Cantabile
142,Basara,BASARA,https://myanimelist.net/manga/974/Basara
143,Tobaku Hakairoku Kaiji,賭博破戒録カイジ,https://myanimelist.net/manga/3573/Tobaku_Hakairoku_Kaiji
144,Onanie Master Kurosawa,オナニーマスター黒沢,https://myanimelist.net/manga/8967/Onanie_Master_Kurosawa
145,Innocent Rouge,イノサン Rouge,https://myanimelist.net/manga/93699/Innocent_Rouge
146,Yuru Campâ³,ゆるキャン△,https://myanimelist.net/manga/94376/Yuru_Campâ³
147,Kimi no Na wa.,君の名は。,https://myanimelist.net/manga/99314/Kimi_no_Na_wa
148,Ikoku Nikki,違国日記,https://myanimelist.net/manga/118804/Ikoku_Nikki
149,Gunnm,銃夢 GUNNM,https://myanimelist.net/manga/768/Gunnm
150,Kaichou wa Maid-sama!,会長はメイド様!,https://myanimelist.net/manga/2921/Kaichou_wa_Maid-sama
151,Nichijou,日常,https://myanimelist.net/manga/3082/Nichijou
152,My Girl,マイガール,https://myanimelist.net/manga/6164/My_Girl
153,Amayo no Tsuki,雨夜の月,https://myanimelist.net/manga/142310/Amayo_no_Tsuki
154,Imawa no Kuni no Alice,今際の国のアリス,https://myanimelist.net/manga/33031/Imawa_no_Kuni_no_Alice
155,Tomodachi Game,トモダチゲーム,https://myanimelist.net/manga/62795/Tomodachi_Game
156,Tensei shitara Slime Datta Ken,転生したらスライムだった件,https://myanimelist.net/manga/87609/Tensei_shitara_Slime_Datta_Ken
157,xxxHOLiC,xxxHOLiC,https://myanimelist.net/manga/10/xxxHOLiC
158,Azumanga Daioh,あずまんが大王,https://myanimelist.net/manga/85/Azumanga_Daioh
159,Cardcaptor Sakura,カードキャプターさくら,https://myanimelist.net/manga/106/Cardcaptor_Sakura
160,Kiseijuu,寄生獣,https://myanimelist.net/manga/401/Kiseijuu
161,SKET Dance,SKET DANCE,https://myanimelist.net/manga/1414/SKET_Dance
162,Bakuman.,BAKUMAN。 バクマン。,https://myanimelist.net/manga/9711/Bakuman
163,Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch,うみねこのなく頃に - Episode 3: Banquet of the Golden Witch,https://myanimelist.net/manga/16081/Umineko_no_Naku_Koro_ni_-_Episode_3__Banquet_of_the_Golden_Witch
164,Love Bullet,ラブ・バレット,https://myanimelist.net/manga/166372/Love_Bullet
165,"Mata, Onaji Yume wo Miteita",また、同じ夢を見ていた,https://myanimelist.net/manga/110160/Mata_Onaji_Yume_wo_Miteita
166,Haruka Tooki Ie,遥か遠き家,https://myanimelist.net/manga/136103/Haruka_Tooki_Ie
167,Kimi no Yoru ni Fureru,君の夜に触れる,https://myanimelist.net/manga/144011/Kimi_no_Yoru_ni_Fureru
168,"Bungou Stray Dogs: Dazai, Chuuya, Juugosai",文豪ストレイドッグス 太宰、中也、十五歳,https://myanimelist.net/manga/152024/Bungou_Stray_Dogs__Dazai_Chuuya_Juugosai
